Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Publisher,Date Published,Year Published,Genre,Edition,Editor,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Original Title,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
Yoga Games for Children,"Fun and Fitness with Postures, Movements and Breath",,,"Danielle Bersma, Marjoke Visscher","Bersma, Danielle",,,,Hunter House,,2003,FAMILY & RELATIONSHIPS,,,"This introduction to yoga for children contains variations on traditional yoga postures that help children develop physical strength, flexibility, emotional calm, and self-expression. The games involve relaxation, trust, and cooperation. Included are over 50 illustrations and 16 completely structured lessons based on themes like the seasons, rain, snow, and animals.",,,,,,,,146,,,,,English,,,,9780897933896,0,0,,Unread,,,,,,,0,,,,2018/04/03 07:31:03.382202029,,,,,,JPMnoDZ75XMC,,0,,
The Rooster Who Would Not Be Quiet!,,,,Carmen Agra Deedy,"Deedy, Carmen Agra",,,,Scholastic Press,,2017,Juvenile Fiction,,,"A powerful tale that celebrates the spirit of freedom! La Paz is a happy, but noisy village. A little peace and quiet would make it just right. So the villagers elect the bossy Don Pepe as their mayor. Before long, singing of any kind is outlawed. Even the teakettle is afraid to whistle! But there is one noisy rooster who doesn't give two mangos about this mayor's silly rules. Instead, he does what roosters were born to do. He sings: ""Kee-kee-ree-KEE!"" Carmen Deedy's masterfully crafted allegory and Eugene Yelchin's bright, whimsical mixed-media paintings celebrate the spirit of freedom - and the courage of those who are born to sing at any cost.",,,,,,,,48,,,,,English,,,,9780545722889,0,0,,Unread,,,,,,,0,,,,2018/04/03 07:31:03.364815950,,,,,,adUNkAEACAAJ,,0,,
The Library Dragon,,,,Carmen Agra Deedy,"Deedy, Carmen Agra",,,,Peachtree,,1994,Juvenile Fiction,,,"In this sequel to The Library Dragon, Miss Lotty is finally checking herself out of the Sunrise Elementary School Library, but not before Lotta Scales makes one final, fiery stand. After 557 years of faithful service, Miss Lotty is retiring from guarding books. But before she can check out of Sunrise Elementary for good, disaster strikes. Someone has ordered to have all the books removed from the library and replaced with machines! It?s enough to make Lotty feel a little?dragon-like. When she bursts into a fiery rage, only one thing can make her shed her scales: assurance that someone will fight to keep her precious books in the hands of Sunrise?s children. A surprise visit from her old friend Molly Brickmeyer reassures her that the library is safe for now and will remain a place where kids can UNPLUG, for the love of books. Carmen Agra Deedy?s timely and humorous tale is paired with Michael P. White?s lively illustrations to create an unforgettable sequel with an important message for librarians and students alike.",,,,,,,,32,,,,,English,,,,9781561450916,0,0,,Unread,,,,,,,0,,,,2018/04/03 07:31:03.332780957,,,,,,rGysQgAACAAJ,,0,,
If You Give a Pig a Party,,,,Laura Joffe Numeroff,"Numeroff, Laura Joffe",,,,Laura Geringer Books,,2005,Juvenile Fiction,,,One thing leads to another when you give a pig a party.,,,,,,,,,,,,,English,,,,9780061921599,0,0,,Unread,,,,,,,0,,,,2018/04/03 07:31:03.297438979,,,,,,RDIPSQAACAAJ,,0,https://covers.openlibrary.org/b/id/8018359-L.jpg,
April Fool! watch out at school!,Watch out at school!,,,Diane De Groat,"Groat, Diane De",,,,HarperCollinsPublishers,,2009,Fiction,,,,,,,,,,,,,,,,,,,,9780061430435,0,0,,Unread,,,,,,,0,,,,2018/04/03 07:31:03.285948038,,,,,,,,0,http://images.amazon.com/images/P/0061430439.01Z.jpg,
Pete the cat and the treasure map,,,,James Dean,"Dean, James",,,,,,,,,,,,,,,,,,,,,,,,,,,9780606396240,0,0,,Unread,,,,,,,0,,,,2018/04/03 07:31:03.282678961,,,,,,,,0,http://images.amazon.com/images/P/0606396241.01Z.jpg,
Max's Easter Surprise,,,,Rosemary Wells,"Wells, Rosemary",,,,Penguin Group (USA) Incorporated,,2008,Juvenile Fiction,,,"Ruby and her friend Louise are decorating Easter eggs, but Max wants to have an Easter Parade. Big sister Ruby tells Max that the Easter Parade is tomorrow, but that he can help today by carrying all the decorated eggs to the Easter basket. But Max doesn?t want to just carry the eggs?he wants to march them in a parade!",,,,,,,,24,,,,,English,,,,9780448447834,0,0,,Unread,,,,,,,0,,,,2018/04/03 07:31:03.266545057,,,,,,iKOuPQAACAAJ,,0,,
"White Owl, Barn Owl",,,,Nicola Davies,"Davies, Nicola",,,,Candlewick Press,,2007,Juvenile Fiction,,,"An award-winning author and illustrator swoop into the wondrous world of the barn owl.  A young girl and her grandfather look for a barn owl night after night. Will a distinctive heart-shaped face appear at the window? Michael Foreman’s lush, intimate paintings are a perfect companion to Nicola Davies’s lyrical text featuring intriguing facts about a rare bird indeed.",,,,,,,,29,,,,,English,,,,9780763633646,0,0,,Unread,,,,,,,0,,,,2018/04/03 07:31:03.212890982,,,,,,kvbvAAAAMAAJ,,0,,
Dance to the Rescue (Dora the Explorer),,,,Nickelodeon Publishing,"Publishing, Nickelodeon",,,,Nickelodeon Publishing,2013/04/01,2013,Juvenile Fiction,,,"Oh, no! A mean elf has trapped Swiper in a bottle! To save him, Dora the Explorer has to dance her way to the Castle where she can win a wish to set Swiper free. Will Dora be able to dance to Swiper's rescue?",,,,,,,,13,,,,,English,,,,9781612632490,0,0,,Unread,,,,,,,0,,,,2018/03/29 12:32:08.381252050,,,,,,hK7_AgAAQBAJ,,0,,
Do Princesses Wear Hiking Boots?,,,,Theresa Howell,"Howell, Theresa",,,,Rising Moon,,2003,Juvenile Fiction,,,"Every inquisitive little girl wonders what it is really like to be a genuine princess. At the heart ofDo Princesses Wear Hiking Boots? lives an energetic, spirited, and contemporary child who has lots of important questions for her mom. Do princesses ride tricycles, climb trees, do chores, or have to eat the crusts of their bread? The mother's voice is timelessly reassuring as she answers her daughter's questions and advises her that being like a princess has to do with what we are on the inside. This heart-warming book offers a gentle lesson about self-acceptance, and will inspire children to follow their dreams and leave their own mark on the world.",,,,,,,,32,,,,,English,,,,9780873588287,0,0,,Unread,,,,,,,0,,,,2018/03/29 12:31:46.924038052,,,,,,is1W8YUKy0IC,,0,,
Pirates in Pajamas,,,,Caroline Crowe,"Crowe, Caroline",,,,Tiger Tales,2015/09/01,2015,Juvenile Fiction,,,"The fun-loving pirates on board the Leaky Parrot love to wear pajamas! They have frilly ones and spotted ones, green ones and pink ones. These swashbucklers love to take bubble baths, dance in their pajamas, and have pillow fights. Climb on board for the most exciting pirate pajama party ever!",,,,,,,,32,,,,,English,,,,9781589251908,0,0,,Unread,,,,,,,0,,,,2018/03/29 12:31:46.906713008,,,,,,Y-5nrgEACAAJ,,0,,
Bloom,,,,Doreen Cronin,"Cronin, Doreen",,,,Simon and Schuster,2016/02/09,2016,Juvenile Fiction,,,"From #1 New York Times bestselling author Doreen Cronin and Caldecott Medal–winning illustrator David Small comes a picture book about how an extraordinary “ordinary” girl can save a kingdom with the help of a mud fairy.A glass kingdom is no place for a Mud Fairy. Bloom and her mud fairy magic might be able to turn weeds into flowers and spin sand into glass, but the people of the kingdom ceaselessly complain about the trails of dirt and puddles of mud that seem to follow her every step, and finally they cast her out. But when the glass castle begins to crack, then cracks some more, the King and Queen in a panic search for the long-banished fairy, but they can’t find Bloom anywhere. Desperate to save their home, they send their meekest, most ordinary subject, a girl named Genevievewhose sole task until now has been to polish the Queen’s crystal sugar spoon—to coax any worthy fairy to come and save the kingdom. Genevieve finds Bloom exactly where the king and queen failed to see her, and Bloom knows exactly how to save the kingdom. But it will take the two girls working together, along with a mighty dollop of self-confidence—and some very messy hands—to accomplish the extraordinary.",,,,,,,,40,,,,,English,,,,9781442406209,0,0,,Unread,,,,,,,0,,,,2018/03/29 12:31:46.891178011,,,,,,Uf2BCwAAQBAJ,,0,,
Billions of Bricks,A Counting Book About Building,,,Kurt Cyrus,"Cyrus, Kurt",,,,Macmillan,2016/10/11,2016,Juvenile Fiction,,,"Two, four, six. Look at all the bricks!Grab a hard hat and all your tools, and get ready for a construction adventure in counting! This clever, rhyming picture book leads readers through a day in the life of a construction crew building with bricks. A brick may seem like just a simple block, but in groupings of ten, twenty, and more, it can create many impressive structures, from hotels to schools to skyscrapers. Billions of Bricks from Kurt Cyrus is a terrific introduction to counting in quantities for children. A Christy Ottaviano Book",,,,,,,,32,,,,,English,,,,9781627792738,0,0,,Unread,,,,,,,0,,,,2018/03/29 12:31:46.874552011,,,,,,WfnUDAAAQBAJ,,0,,
Jack and the Beanstalk,,,,Nina Crews,"Crews, Nina",,,,Macmillan,2011/07/05,2011,Juvenile Fiction,,,"Jack receives beans as pay for a job he completes and lo and behold, those beans lead him up a beanstalk and into the company of giants! In her innovative photo-collage style, Nina Crews freshens up a beloved children's tale for today's young readers.",,,,,,,,32,,,,,English,,,,9780805087659,0,0,,Unread,,,,,,,0,,,,2018/03/29 12:31:46.857720971,,,,,,Rw1rALRBSwMC,,0,,
It's Hard to Be Five,Learning How to Work My Control Panel,,,Jamie Lee Curtis,"Curtis, Jamie Lee",,,,Harper Collins,2004/09/07,2004,Juvenile Fiction,,,"It's hard to be five. Just yelled at my brother. My mind says do one thing. My mouth says another. It's fun to be five! Big changes are here! My body's my car, and I'm licensed to steer. Learning not to hit? Having to wait your turn? Sitting still? It's definitely hard to be five. But Jamie Lee Curtis's encouraging text and Laura Cornell's playful illustrations make the struggles of self-control a little bit easier and a lot more fun! This is the sixth inspired book from the #1 New York Times best-selling team of Today I Feel Silly: & Other Moods That Make My Day and I'm Gonna Like Me: Letting Off a Little Self Esteem.",,,,,,,,40,,,,,Arabic,,,,9780060080952,0,0,,Unread,,,,,,,0,,,,2018/03/29 12:31:46.841374993,,,,,,emesmDpqbgUC,,0,,
Diary of a Worm,,,,Doreen Cronin,"Cronin, Doreen",,,,Harper Collins,2003/08/19,2003,Juvenile Fiction,,,"This is the diary . . . of a worm. Surprisingly, a worm not that different from you or me. Except he eats his homework. Oh, and his head looks a lot like his rear end. Doreen Cronin, the New York Times best-selling author of CLICK, CLACK, MOO and GIGGLE, GIGGLE, QUACK, teams up with illustrator Harry Bliss for this hysterical journal about the daily doings and the hidden world of a lovable underground dweller.",,,,,,,,40,,,,,English,,,,9780060001513,0,0,,Unread,,,,,,,0,,,,2018/03/29 12:31:46.811941981,,,,,,M56NZtrTqWcC,,0,,
Train,,,,Elisha Cooper,"Cooper, Elisha",,,,Orchard Books,,2013,Juvenile Fiction,,,,,,,,,,,,,,,,,,,,9780545384957,0,0,,Unread,,,,,,,0,,,,2018/03/29 12:31:46.783975958,,,,,,,,0,http://images.amazon.com/images/P/0545384958.01Z.jpg,
Kisses for Kindergarten,,,,Livingstone Crouse,"Crouse, Livingstone",,,,Silver Dolphin Books,2017/06/01,2017,Juvenile Fiction,,,"Join Stella Isabella Harden and her puppy Buster in this lyrical read-aloud and heartwarming story about the first day of kindergarten.Stella Isabella Harden contemplating kindergarten declared she didn't have to go... because her puppy told her so.School is about to begin, and Stella Isabella Harden decides that kindergarten just isn't for her. Instead, she decides to spend the day learning from her puppy named Buster. Together these two adventurers plan a day full of playtime, teatime, nap time, and story time. After every ""lesson,"" Stella gets the best reward: a kiss from her best friend and favorite puppy. But will she change her mind about kindergarten before the first day of school? Join Stella and Buster in this lyrical read-aloud and heartwarming story about growing up.2017 Mom's Choice Awards, Gold Award Recipient 2017 NAPPA Winner",,,,,,,,40,,,,,English,,,,9781626867031,0,0,,Unread,,,,,,,0,,,,2018/03/29 12:31:46.770684003,,,,,,OahDvgAACAAJ,,0,,
Brick Animals,Clever and Creative Ideas to Make from Classic LEGO,,,Warren Elsmore,"Elsmore, Warren",,,,Barron's Educational Series,,2016,Crafts & Hobbies,,,"LEGO(R) builders, rejoice! The celebrated author of Brick City, Brick Wonders, Brick Flicks, Brick History and Brick Vehicles is back with this new title that offers 40 original, ingenious, and unique buildable projects to make from LEGO pieces. In Brick Animals,  anyone with a drawer full of LEGO bricks will be able to build and customize cute animal models, including a cute cat, wild swan, big polar bear, friendly monkey, and more. Based on the brick selection found in some of LEGO's Classic series, each project is a great way to test out unusual building techniques or to mix up pieces from existing kits that have already been broken up. Free your inner architect with these fun projects that really get your creative juices flowing. You can follow the instructions to the letter or go off in your own direction--it's your choice! Many of the designs in these books use fewer than 100 bricks, so you don't need a lot of bricks to get started. Discover loads fun projects showcasing advanced techniques that are perfect for every LEGO enthusiast.",,,,,,,,96,,,,,English,,,,9781438008806,0,0,,Unread,,,,,,,0,,,,2018/03/29 12:31:46.758836984,,,,,,Jtp6jwEACAAJ,,0,,
Maisy goes to the library,,,,Lucy Cousins,"Cousins, Lucy",,,,Candlewick Press,,2005,In library,,,,,,,,,,,,,,,,,,,,9780763626693,0,0,,Unread,,,,,,,0,,,,2018/03/29 12:31:46.748321056,,,,,,,,0,https://covers.openlibrary.org/b/id/516488-L.jpg,
I Am a Ballerina,,,,Valerie Coulman,"Coulman, Valerie",,,,Lobster Press,,2005,Juvenile Nonfiction,,,"The perfect book for budding performers, this is the endearing story of young Molly's dream to ""fly through the air"" like a real dancer. From her first shaky lessons to the dazzling Christmas recital, the spirited girl works tirelessly towards the day she can confidently proclaim ""I am a ballerina!"" Delicate chalk-pastel illustrations evoke the enchantment of darkened theaters, the magic of sparkling costumes, and the music of a dancer's world.  This book is excellent for introducing young girls to ballet, a genre of dance that teaches poise, grace, confidence, and love of music. Wonderful to read aloud to the youngest of ballerinas, it also makes a great gift for an older ballerina who is starting to read on her own.",,,,,,,,32,,,,,English,,,,9781897073209,0,0,,Unread,,,,,,,0,,,,2018/03/29 12:31:46.735319018,,,,,,rb5SYo0xIbIC,,0,,
The crazy crawler crane and other very short truck stories,,,,Mittie Cuetara,"Cuetara, Mittie",,,,Dutton Children's Books,,1998,Stories in rhyme,,,,,,,,,,,31,,,,,,,,,9780525459514,0,0,,Unread,,,,,,,0,,,,2018/03/29 12:31:46.662793040,,,,,,,,0,https://covers.openlibrary.org/b/id/1269277-L.jpg,
The Cloudy With a Chance of Meatballs Collection,Cloudy With a Chance of Meatballs; Pickles to Pittsburgh; Cloudy With a Chance of Meatballs 3,,,Judi Barrett,"Barrett, Judi",,,,Atheneum/Caitlyn Dlouhy Books,2016/11/29,2016,Juvenile Fiction,,,"All three Cloudy with a Chance of Meatballs books are now available in a collectible boxed set!Cloudy with a Chance of Meatballs: This classic picture book tells the story of the tiny town of Chewandswallow where the weather comes three times a day, at breakfast, lunch, and dinner. Pickles to Pittsburgh: In the sequel to Cloudy with a Chance of Meatballs, Kate and Henry travel to the town of Chewandswallow where they discover what the townspeople do with all that gigantic food. Planet of the Pies: Grandpa, Kate, and Henry are all back (well, until Grandpa heads to MARS) in the third Cloudy book.",,,,,,,,96,,,,,English,,,,9781481498906,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:25:33.487957954,,,,,,qjf0vQAACAAJ,,0,,
Dora's Fairytale Adventure (Dora the Explorer),,,,Nickelodeon Publishing,"Publishing, Nickelodeon",,,,Nickelodeon Publishing,2013/04/01,2013,Juvenile Fiction,,,"Dora the Explorer and Boots are playing in Fairy-Tale Land! But when a mean witch casts a spell on Boots, he falls into a deep, deep sleep. The only way to break the spell is for Sleeping Boots to get a hug from a true princess. Can Dora become a princess and save Boots?",,,,,,,,13,,,,,English,,,,9781612632629,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:25:04.952880024,,,,,,r7D_AgAAQBAJ,,0,,
Mixed-up Magic,,,,Joanna Cole,"Cole, Joanna",,,,Hastings House Publishers,,1987,Magic,,,Maggie meets a kindly boastful elf who never quite fulfills the wish he means to grant.,,,,,,,,32,,,,,English,,,,9780803892989,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:24:41.152694940,,,,,,RNdjibvqGYcC,,0,,
Dora's Backpack,,,,Sarah Willson,"Willson, Sarah",,,,Simon Spotlight/Nickelodeon,2002/04/01,2002,Juvenile Fiction,,,"Dora loves her backpack. She always has what Dora needs inside. Join Dora and her pals as they try to reach the library before it closes, so Dora can return her books on time. Can Backpack help? Find out in this exciting adventure!",,,,,,,,24,,,,,English,,,,9780689847202,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:24:14.728086948,,,,,,r8vYiNJeF_MC,,0,,
You're a Grand Old Flag,,,,George M. Cohan,"Cohan, George M.",,,,Bloomsbury Publishing USA,2007/05/29,2007,Juvenile Nonfiction,,,"It's the emblem of the land that we love!Get ready to salute the flag as Warren Kimble pays tribute to one of his favorite subjects--America! George M. Cohan's classic patriotic anthem, beloved by young and old alike, provides the perfect backdrop for Kimble's playful portraits and stunning panoramas. From sea to shining sea, the stars and stripes appear somewhere on every spread for young readers to find.This American standard provides a rousing soundtrack for sporting events, picnics, and in classrooms around the country. Sing along with the sheet music in the back of the book as you learn important facts about our flag. Red, white, and blue: hats off to you!",,,,,,,,32,,,,,English,,,,9780802795755,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:24:14.714887022,,,,,,mfL1RHY-cNEC,,0,,
The Story of Noodles,,,,Ying Chang Compestine,"Compestine, Ying Chang",,,,Holiday House,,2002,Juvenile Fiction,,,"The annual cooking contest is coming up. Learn how the creative Kang boys may have invented the first noodle dish and three different techniques for eating them. Then try slurping some yourself with the ""long-life noodle"" recipe included at the end of this book.",,,,,,,,32,,,,,English,,,,9780823416004,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:24:14.701225042,,,,,,RtA6vgAACAAJ,,0,,
Bad Habits,,,,Babette Cole,"Cole, Babette",,,,Puffin Books,1999/06/01,1999,Humorous stories,,,"Lucretzia Crum is more like a little monster than a little girl. She's spoiled rotten and has every bad habit imaginable. After many unsuccessful attempts at taming her, Lucretzia's Dad comes up with a fantastic plan that transforms her into a little angel. Readers will find the story and the author's illustrations absolutely hilarious.",,,,,,,,32,,,,,English,,,,9780803724327,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:24:14.685788989,,,,,,EMhaAAAAYAAJ,,0,,
Butterfly Count,,,,Sneed B. Collard,"Collard, Sneed B.",,,,Holiday House,,2002,Juvenile Fiction,,,"In this lushly illustrated introduction to butterflies, a young girl volunteers with her mother to join the annual Fourth of July butterfly count on a prairie restoration project founded by her great-great-grandmother. A short guide to some commonly found butterflies and notes on watching and attracting butterflies are included.",,,,,,,,32,,,,,English,,,,9780823416073,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:24:14.671627044,,,,,,_EAbvgAACAAJ,,0,,
The Lion's Share,,,,Chris Conover,"Conover, Chris",,,,Farrar Straus Giroux,,2000,Juvenile Fiction,,,"Prince Leo discovers a new treasure -- books When Prince Leo, a lion, is born with wings on his back, his father bellows, ""Our son will go far!"" It's not long before that declaration takes on a literal meaning. The day arrives when Leo flaps his wings and learns that flying is simple - but stopping is another story. Exhausted and far from home, he eventually crash-lands and is found by King Otto of the North, a bear who cares for Leo while he recovers. The best medicine of all turns out to be the books that are read to him - Leo's kingdom doesn't have books. When he's finally ready to return home - after taking flying and reading lessons - Leo will be bringing a wonderful treasure back with him. Chris Conover, with her large-scale, intricately detailed illustrations, has outdone herself.",,,,,,,,32,,,,,English,,,,9780374399740,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:24:14.658316016,,,,,,lUiqHAAACAAJ,,0,,
Whose Nest?,A lift-the-flap book,,,"Lynette Evans, Victoria Cochrane","Evans, Lynette",,,,"Scholastic, Incorporated",,2013,,,,"Can you guess whose nest? Take a peek into the nest and look at the clues that surround it: a feather, a footprint, a tasty food morsel and guess whose nest. Then turn the page to find out who really lives there.",,,,,,,,,,,,,English,,,,9780545663816,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:24:14.648955941,,,,,,YzCWoAEACAAJ,,0,,
Jungle Halloween,,,,Maryann Cocca-Leffler,"Cocca-Leffler, Maryann",,,,Albert Whitman & Co.,2000/09/01,2000,English language,,,"Rhyming verses tell the story of jungle animals which decorate for Halloween, dress up for the occasion, and participate in the night's festivities.",,,,,,,,32,,,,,English,,,,9780807540565,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:24:14.635290026,,,,,,EOfvAAAAMAAJ,,0,,
"The LEGO Build-It Book, Vol. 1",Amazing Vehicles,,,"Nathanael Kuipers, Mattia Zamboni","Kuipers, Nathanael",,,,No Starch Press,2013/07/19,2013,Crafts & Hobbies,,,"BUILD 10 COOL MODELS! With just one collection of LEGO(R) bricks, you can build any of these 10 models--from the simple Go-Kart to the intricate Rescue Truck.Handy tips and advanced building techniques will inspire you to create your own amazing models for even more fun!* Off-Roader* Go-Kart* Muscle Car* Stroller* Multi-Purpose Truck* Historic Racer* Classic Car* Wheel Loader* Street Rod* Rescue Truck",,,,,,,,132,,,,,English,,,,9781593275037,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:24:14.620797991,,,,,,vZiQAQAAQBAJ,,0,,
Over the Hills & Far Away,,,,Chris Conover,"Conover, Chris",,,,Farrar Straus Giroux,,2004,Juvenile Fiction,,,"Hold on to your hat! ""Tommy was a piper's son, """"He learned to pipe when he was young;""""The only song that he could play""""Was over the hills and far away.""""Over the hills and a long way off""""The wind shall blow my top hat off."" Come join the fun as Tom, an otter pup, sets out on a merry journey through the various seasons, enchanting young and old alike with his exuberant piping. Among his charmed listeners are raccoons, rabbits, pigs, and a well-dressed snail -- but the most charmed of all is Molly, who accepts his hand in marriage. In reimagining this traditional folk song, Chris Conover once again proves her incredible skill, which was touted by ""School Library Journal"": ""No one portrays animals in a more charming and expressive way than Conover."" For the musically inclined, music for piano and guitar is in the back of the book.",,,,,,,,40,,,,,English,,,,9780374380434,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:24:14.607535004,,,,,,WHfkPQAACAAJ,,0,,
"Horse Named Steve, A",,,,Kelly Collier,"Collier, Kelly",,,,Kids Can Press Ltd,2017/04/04,2017,Juvenile Fiction,,,"ñSteve is a fine horse. But he thinks he could be finer. He wants to be EXCEPTIONAL.î  When Steve finds a gold horn in the forest and attaches it to his head, ta-da! Exceptional! His friends are so impressed, they, too, attach objects to their own heads, in an effort to be as exceptional as Steve. So when Steve suddenly realizes his horn has gone missing, heÍs devastated! He wonÍt be exceptional without his horn! Or will he? A laugh-out-loud tale of an endearingly self-absorbed horse who learns that thereÍs more than one way to blow your own horn!",,,,,,,,32,,,,,English,,,,9781771387361,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:24:14.592489004,,,,,,F7tCDQAAQBAJ,,0,,
Big Al and Shrimpy,,,,Andrew Clements,"Clements, Andrew",,,,Simon and Schuster,2002/09/01,2002,Juvenile Fiction,,,"In the wide blue sea there was a very clever fish named Shrimpy.  You could not find  a smarter fish.  But Shrimpy was also very, very  small.  Poor Shrimpy! He wants to be like Big Al, loved and adored by all the other fish. But who would want to be friends with such a teeny, tiny fish? Big Al, that's who! He's big and scary-looking, and he remembers what it was like to be friendless. Still, all the other fish think Shrimpy's just a nuisance. Then one day, when Big Al's life is in danger, Shrimpy is the only one brave enough and smart enough to save the day. Suddenly, everyone can see that friends come in all shapes and sizes and Shrimpy turns out to be the best friend any fish could want!",,,,,,,,40,,,,,English,,,,9780689842474,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:24:14.580693006,,,,,,JdoPAQAAQBAJ,,0,,
Mega rescuers,,,,Zamboni,Zamboni,,,,Tangerine Press,,2007,Vehicles,,,,,,,,,,,32,,,,,,,,,9780545100724,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:24:14.569897055,,,,,,,,0,https://covers.openlibrary.org/b/id/8102493-L.jpg,
Drive,,,,Nathan Clement,"Clement, Nathan",,,,Boyds Mills Press,,2008,Juvenile Fiction,,,A little boy reveres his truck-driving dad. A little boy tells the story of what his dad does in his long day of driving a truck. Startlingly vivid graphic images of a big rig rendered in vibrant colors and compelling compositions make life on the road seem exotic and beautiful even as they bring the father and son together at the end of the day.,,,,,,,,32,,,,,English,,,,9781590785171,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:24:14.555652022,,,,,,7HtoPOgYrBUC,,0,,
Just Another Ordinary Day,,,,Rod Clement,"Clement, Rod",,,,HarperCollins,1997/05/29,1997,Juvenile Fiction,,,"Like most kids, Amanda gets dressed, goes to school, plays with friends, and eats dinner with her family. But don't be fooled by this deceptively simple story ' readers will soon find out that Amanda is no ordinary girl! Best-selling Australian artist Rod Clement has created a wickedly funny picture book in which the artwork tells an extraordinary story of ‘just another ordinary day.'",,,,,,,,32,,,,,English,,,,9780060276676,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:24:14.542494058,,,,,,QvNHHQAACAAJ,,0,,
Slippers at Home,,,,Andrew Clements,"Clements, Andrew",,,,Dutton Children's Books,,2004,Juvenile Fiction,,,"Slippers lives in his own little house inside a bigger house. In his big house, Slippers has four people. Baby Edward walks around on all fours, just like Slippers. Laura lives in a place way up the stairs. Mommy puts food into Slippers' round bowl to feed his round tummy. Daddy takes Slippers on long walks and always finds the way home. Every night Slippers falls asleep happy because he has four people of his very own, and he loves every one of them. Written from a puppy's point of view and illustrated with cheerful pictures, this story is simple enough to engage toddlers and funny enough to amuse beginning readers.",,,,,,,,32,,,,,English,,,,9780525471387,0,0,,Unread,,,,,,,0,,,,2018/03/26 09:24:14.494369029,,,,,,asnXAAAAMAAJ,,0,,
Grandpa's garden lunch,,,,Judith Caseley,"Caseley, Judith",,,,Greenwillow Books,1990/08/01,1990,Gardening,,,"After helping Grandpa in the garden, Sarah and her grandparents enjoy a lunch made from home-grown vegetables.",,,,,,,,24,,,,,English,,,,9780688088163,0,0,,Unread,,,,,,,0,,,,2018/03/20 07:09:26.536942005,,,,,,DzhaAAAAYAAJ,,0,,
The Bear's Sea Escape,,,,Benjamin Chaud,"Chaud, Benjamin",,,,Chronicle Books.,2014/08/05,2014,Animals,,,"More adventures await The Bear's Song's Little Bear and Papa Bear. When the bears seek warmth from their chilly perch atop the Paris Opera House, Little Bear is mistaken for a toy bear and whisked away . . . to a tropical island! Papa Bear sets out on a frenzied journey to find Little Bear, traveling to a bustling wharf, beneath a sea brimming with coral and mermaids, onto a busy beach, and all the way to a sun-drenched island. As in The Bear's Song, Little Bear is featured in every spread. Will Papa Bear—and the reader— find him? Children and parents alike will savor Chaud's lush, detail-rich illustrations and the sweet story as well as the book's bonus seek-and-find elements. Plus, this is the fixed format version, which will look almost identical to the print version. Additionally for devices that support audio, this ebook includes a read-along setting.",,,,,,,,,,,,,English,,,,9781452127439,0,0,,Unread,,,,,,,0,,,,2018/03/20 07:08:48.449182987,,,,,,,,0,http://is2.mzstatic.com/image/thumb/Publication4/v4/80/dc/9e/80dc9e16-21a2-0b56-fda7-2efe7ce21a44/source/512x512bb.jpg,
Rosa Raposa,,,,F. Isabel Campoy,"Campoy, F. Isabel",,,,Harcourt,,2002,Juvenile Fiction,,,"Jaguar, the sharp-toothed, beady-eyed bully, isdeterminedto eat Rosa Raposa for dinner. But Jaguar had better watch out, because clever Rosa has some surprises in store for him! In three hilarious South American trickster episodes, Rosa uses her sharp imagination to make Jaguar look like the biggest fool in the forest. F. Isabel Campoy and bestselling illustrators Jose Aruego and Ariane Dewey have created a story that will keep readers wondering how Rosa Raposa will get the last laughthistime.",,,,,,,,32,,,,,English,,,,9780152021610,0,0,,Unread,,,,,,,0,,,,2018/03/20 07:08:48.436287045,,,,,,wvjzPQAACAAJ,,0,,
